IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
1.49,3.59,2.41,0.946,2.384,2.15
22.30,3.16,0.21,0.546,0.793,0.12
6.49,1.68,0.30,0.511,0.645,0.14
9.39,5.05,0.77,1.131,2.247,1.43
16.40,4.89,0.45,0.802,1.726,1.17
11.20,4.54,0.54,1.563,3.040,2.17
2.34,3.15,2.35,3.170,3.850,1.42
6.37,4.15,0.92,3.710,5.390,3.09
4.92,2.07,0.73,4.956,4.635,1.64
12.95,2.67,0.12,4.699,3.954,1.95
3.96,2.84,1.01,1.835,2.005,0.26
13.10,3.42,0.43,0.532,0.588,0.07
26.10,5.86,0.29,0.523,0.574,0.09
8.56,4.65,0.77,0.640,0.695,0.07
22.70,3.48,0.54,1.760,1.980,0.39
4.08,1.46,0.27,0.911,1.286,0.64
13.80,4.62,0.51,0.422,0.466,0.05
14.80,4.48,0.51,1.173,1.557,0.72
7.48,4.52,0.35,1.235,1.811,0.74
48.00,5.12,0.94,1.264,1.853,0.78
5.55,1.34,0.39,1.260,1.950,0.88
7.32,1.61,0.29,0.934,1.544,0.76
9.82,1.49,0.30,1.254,1.640,0.46
13.09,5.62,0.52,1.656,2.404,0.90
8.18,1.51,0.64,1.011,1.803,0.99
8.56,5.30,0.61,1.028,1.309,0.34
11.80,5.17,0.50,0.909,1.555,0.84
11.80,5.17,0.50,0.909,1.555,0.84
6.52,4.69,0.82,1.231,1.757,0.62
1.43,4.68,3.10,2.280,2.410,0.16
11.10,3.88,0.98,0.861,0.967,0.10
10.56,4.66,1.01,0.857,1.014,0.17
27.90,4.99,0.40,0.530,0.693,0.15
11.60,3.60,0.85,0.802,0.865,0.05
24.10,3.63,0.36,0.533,0.568,0.04
36.50,2.72,0.40,0.612,0.652,0.06
10.50,2.29,0.81,0.612,0.652,0.06
7.79,5.69,0.98,2.087,2.254,1.22
7.84,4.89,0.89,0.872,1.255,0.61
12.00,4.06,0.75,6.074,6.190,3.30
5.50,1.73,0.76,6.072,6.267,3.75
13.30,3.31,0.59,5.693,5.637,2.70
8.52,1.13,0.70,5.855,5.727,1.42
6.73,2.08,0.51,0.646,0.895,0.27
6.34,1.91,0.53,0.640,0.938,0.32
3.09,2.88,1.02,1.371,1.571,-0.30
3.93,2.86,1.23,1.240,1.920,0.94
3.39,2.33,1.13,1.150,1.650,0.67
2.14,4.21,2.01,4.153,4.619,0.65
4.14,1.49,0.28,0.495,0.525,0.14
2.35,2.18,1.44,0.763,0.796,0.05
10.80,3.29,0.94,0.612,0.624,0.06
5.04,1.71,1.01,1.058,1.062,0.13
4.78,2.50,1.69,0.865,0.949,0.11
12.60,2.24,0.61,1.060,1.081,0.19
33.00,2.91,0.36,1.150,1.052,0.90
4.42,6.94,1.38,3.444,10.471,9.95
15.30,2.94,0.52,0.829,0.866,57.00
10.40,3.98,0.49,0.925,1.246,0.50
7.10,4.59,0.77,1.638,2.125,0.63
6.15,4.82,0.93,1.696,2.201,0.65
6.05,4.77,0.75,0.620,0.650,0.06
8.58,5.24,0.55,0.909,0.979,0.08
4.79,2.21,0.61,3.247,3.686,2.51
7.13,3.76,1.04,0.708,1.881,1.62
13.40,2.32,0.28,-4.058,-3.770,3.70
1.58,0.99,0.30,0.893,1.986,7.45
34.90,5.73,0.22,0.644,2.888,2.91
5.00,0.93,0.32,0.766,2.704,2.52
19.20,2.13,0.28,0.692,1.662,2.53
15.70,1.88,0.28,0.648,2.797,2.65
0.15,4.42,1.71,3.740,4.303,0.57
18.60,5.07,0.40,2.570,2.940,0.76
15.10,3.06,0.39,2.490,2.810,0.79
17.75,4.65,0.46,0.884,1.277,0.47
16.80,4.25,0.46,0.875,1.243,0.43
9.72,3.87,0.62,0.759,1.210,0.63
0.92,2.15,3.62,5.492,5.354,1.74
1.86,1.73,1.39,3.703,4.548,1.80
7.50,1.55,0.31,0.480,0.634,0.17
5.25,1.86,0.36,8.345,3.837,0.86
10.30,1.61,0.34,0.523,0.717,0.22
10.38,2.04,0.30,0.525,0.685,0.20
13.30,3.72,0.75,1.777,2.359,0.96
8.82,2.86,1.00,0.808,1.700,1.15
24.20,1.83,0.26,0.915,1.190,0.36
32.50,3.94,0.27,1.420,1.720,0.36
4.38,2.40,0.75,2.730,2.780,0.04
5.94,6.49,0.60,3.036,2.996,0.81
5.42,2.50,0.43,3.314,3.294,1.08
6.38,5.05,0.50,2.720,2.790,0.58
2.04,1.64,0.63,2.737,2.755,0.64
13.00,3.39,0.26,8.456,6.615,2.27
9.96,5.10,0.41,0.617,1.008,0.28
5.57,3.69,0.61,0.787,1.300,0.45
7.31,4.30,0.42,8.836,6.614,2.19
5.21,4.24,0.97,1.101,1.375,0.32
21.30,7.69,0.61,4.880,5.590,2.39
4.87,2.59,0.69,0.798,0.969,0.21
27.90,4.78,0.35,0.661,0.998,0.49
27.90,4.78,0.35,0.660,0.990,0.49
8.16,2.80,0.70,1.220,1.750,0.90
4.69,5.11,1.55,1.212,1.454,0.33
13.94,6.40,0.35,0.634,0.882,0.25
9.42,6.35,0.51,0.624,0.700,0.10
38.60,3.06,0.57,1.310,1.510,0.39
11.50,5.04,0.63,2.065,0.284,0.21
7.13,3.41,1.63,1.180,1.714,0.67
1.27,3.51,5.36,1.935,2.506,0.78
4.34,2.46,1.09,1.480,1.630,0.20
10.70,5.79,0.42,0.563,0.720,0.18
7.49,1.59,0.41,1.570,1.847,0.41
13.80,5.21,0.63,4.834,5.661,3.12
11.20,5.98,0.68,5.616,5.850,2.92
6.52,3.42,0.68,1.281,1.410,0.15
7.16,6.00,0.82,0.835,1.142,0.42
3.62,4.21,1.41,1.800,1.960,0.20
3.24,5.30,1.58,2.487,2.285,0.87
2.24,5.24,2.75,1.330,2.220,0.82
0.67,3.04,5.49,1.991,2.981,0.88
2.15,3.37,2.66,1.670,2.140,0.51
9.63,1.77,0.27,5.791,5.121,3.14
6.50,1.66,0.38,5.988,5.297,3.61
12.40,4.62,0.34,3.110,2.980,0.80
7.56,5.08,0.58,7.993,7.465,5.49
3.50,5.28,1.12,3.732,3.618,0.69
8.70,5.68,0.47,6.044,5.332,2.93
6.20,3.30,3.13,2.970,3.080,0.11
12.60,4.75,0.81,0.772,0.839,0.06
21.10,5.49,0.45,0.529,0.587,0.08
12.70,5.35,0.72,0.852,0.911,0.11
8.40,3.85,0.99,1.073,1.418,0.40
18.80,7.01,0.48,0.693,1.028,0.40
10.70,4.39,1.94,2.122,2.230,0.14
0.78,1.71,3.60,3.700,3.970,0.23
0.17,1.94,3.92,3.299,3.467,0.12
2.09,1.30,3.00,2.880,2.950,0.11
6.18,3.48,2.96,3.065,3.080,0.11
2.90,1.30,3.00,2.888,2.950,0.10
24.60,3.17,0.37,1.729,0.657,0.05
13.20,1.61,0.42,0.466,0.500,0.04
49.40,4.32,0.24,0.350,0.404,0.05
6.98,1.81,0.30,0.560,0.589,0.09
7.60,1.59,0.96,1.604,1.564,0.10
7.61,5.69,1.01,1.502,1.787,0.59
10.31,4.99,0.71,0.915,1.197,0.27
7.21,6.47,1.10,1.226,1.767,0.62
5.33,2.16,0.78,0.947,1.194,0.30
6.52,1.64,0.38,0.563,0.806,0.29
4.38,3.34,1.39,1.779,1.905,0.29
9.98,1.56,0.24,0.439,0.624,0.25
7.06,6.01,0.65,1.358,1.710,0.45
8.80,7.54,0.38,1.270,1.300,-0.14
3.33,2.57,0.80,1.460,1.680,0.38
3.22,4.09,0.87,3.268,3.270,0.69
2.38,2.76,0.96,2.480,2.470,0.33
4.09,4.79,0.91,5.965,5.264,2.36
6.25,3.75,0.46,3.920,3.320,0.57
7.87,5.07,0.60,4.667,4.033,0.53
9.95,5.20,0.50,1.447,1.666,0.39
2.16,2.56,1.34,1.836,2.121,0.43
5.92,5.43,0.75,1.494,1.700,0.34
9.63,5.86,0.35,1.190,1.309,0.37
15.00,5.38,0.99,2.617,2.788,0.55
4.29,2.04,0.55,2.308,2.432,0.44
10.58,1.91,0.64,2.431,2.597,0.55
6.94,3.02,0.74,0.778,2.480,2.22
21.90,3.39,0.30,0.599,1.939,1.74
35.60,6.20,0.20,0.519,2.150,2.25
5.91,2.44,0.37,10.800,9.720,6.99
5.56,5.59,0.53,8.455,6.261,2.04
6.19,7.79,0.58,9.020,6.520,2.27
3.54,3.31,0.63,2.042,2.194,0.40
9.60,6.32,0.33,1.677,1.774,0.33
7.78,4.01,0.53,1.995,2.460,1.51
6.09,4.99,0.46,10.516,9.739,6.86
0.61,1.85,2.00,11.958,10.237,5.21
2.90,4.47,0.97,10.185,10.542,6.32
5.74,3.59,0.70,1.896,2.408,1.59
9.23,4.81,0.64,3.412,5.649,3.84
7.01,3.23,0.78,3.531,5.378,3.26
1.11,1.14,0.71,3.590,5.779,3.75
12.25,6.35,0.46,3.520,5.480,3.50
18.81,5.46,0.47,4.550,4.488,1.48
8.50,5.23,1.00,1.260,1.310,0.06
5.56,2.54,0.43,0.961,1.132,0.27
3.48,2.78,0.58,1.080,1.171,0.22
7.31,1.86,0.33,0.842,1.098,0.32
22.80,4.65,0.38,0.695,0.828,0.16
4.74,3.32,1.12,2.464,2.638,0.65
3.28,2.17,0.67,1.970,2.200,0.68
14.80,5.51,0.72,1.920,3.360,3.43
0.21,1.61,0.57,1.330,1.579,0.34
4.85,2.78,0.52,1.030,1.220,0.19
1.09,1.65,1.31,3.666,3.602,-0.02
0.88,2.03,1.24,3.040,3.024,0.02
8.04,6.36,0.50,0.821,0.976,0.05
6.36,4.73,0.57,1.070,1.286,0.44
8.34,6.29,0.49,1.026,1.538,0.81
6.43,5.41,0.63,1.048,1.601,0.93
0.85,15.10,5.52,1.030,1.409,0.58
8.31,5.89,0.44,0.999,1.131,0.37
4.15,4.12,0.86,0.896,1.075,0.27
20.85,5.80,0.36,0.878,1.930,1.28
10.10,5.17,0.31,1.227,2.205,1.21
4.60,1.74,0.78,0.942,1.727,0.99
2.70,2.07,0.73,0.959,1.736,1.04
3.91,2.37,0.86,1.020,1.419,0.47
5.69,3.74,0.99,1.260,1.668,0.53
7.05,3.15,0.62,1.009,1.420,0.49
6.52,3.14,0.85,1.505,1.607,0.13
5.44,2.88,0.96,1.278,1.396,0.15
4.21,2.08,0.75,1.270,1.360,0.13
7.52,3.05,0.63,0.994,1.106,0.16
3.12,4.97,1.19,1.831,1.904,0.14
1.27,2.60,8.40,3.162,3.805,0.77
3.41,5.86,3.42,1.973,2.240,0.32
2.96,4.96,1.26,1.981,2.076,0.13
8.45,2.87,0.62,1.020,2.110,1.34
4.38,2.27,1.04,1.406,2.483,1.27
12.70,1.34,0.43,0.816,0.996,0.23
1.49,3.21,1.50,1.939,2.051,0.16
3.99,2.89,1.52,2.886,3.066,0.16
4.46,3.70,1.22,1.128,1.826,0.86
3.01,3.54,0.96,1.523,1.696,-0.06
5.78,5.33,0.63,1.005,1.161,0.20
5.70,4.14,0.56,1.816,1.484,0.21
6.58,4.68,0.49,1.338,1.217,-0.07
5.08,2.07,0.32,0.476,0.478,0.04
5.07,2.86,0.54,0.857,0.967,0.13
7.86,4.05,0.60,0.911,1.041,0.14
4.69,1.46,0.39,0.477,0.560,0.10
22.40,4.01,0.35,1.081,0.835,0.07
18.62,5.31,0.28,0.703,0.759,0.06
7.41,8.28,0.45,0.840,1.805,1.16
5.45,8.62,0.78,1.818,2.316,0.61
12.40,3.61,0.31,0.704,1.409,0.92
4.60,2.03,1.42,0.964,1.696,0.90
11.30,4.56,0.42,0.664,1.680,1.31
6.28,3.89,0.75,0.994,1.794,1.03
7.90,4.64,0.59,0.731,1.821,1.37
11.20,3.65,0.43,1.119,1.913,1.39
2.62,2.51,1.41,1.006,2.127,1.46
4.86,3.45,0.98,1.141,2.243,1.37
7.90,4.64,0.59,0.731,1.820,1.37
4.09,3.86,0.89,1.240,1.630,0.60
6.26,1.96,0.49,0.915,1.739,1.11
3.13,2.59,1.07,1.078,2.010,1.24
9.10,3.26,0.50,0.745,1.570,1.08
6.26,1.96,0.49,0.915,1.739,1.11
11.40,3.15,0.46,0.752,1.405,0.79
17.75,4.63,0.30,0.758,1.443,0.91
5.71,3.86,0.82,1.463,1.921,0.74
3.27,3.75,1.22,1.122,1.705,0.86
2.85,5.28,1.52,1.214,1.885,0.84
4.90,3.58,0.83,0.769,1.408,0.80
2.85,5.28,1.52,1.210,1.880,0.84
11.10,6.03,0.73,0.713,1.264,0.68
5.43,5.17,1.32,3.126,1.951,0.10
10.30,4.27,0.69,1.425,1.599,0.16
1.70,2.49,0.78,1.300,1.352,0.09
4.89,4.06,0.61,1.019,1.192,0.29
0.76,2.08,0.67,1.290,1.368,0.17
9.36,5.68,0.38,0.680,0.692,-0.10
7.13,4.02,0.46,0.725,0.779,-0.89
4.93,3.04,1.40,1.460,1.710,0.38
13.60,3.68,0.45,0.899,1.118,0.29
2.10,6.63,1.35,1.792,2.096,0.16
2.32,5.91,1.32,1.787,1.976,0.24
5.30,5.82,0.56,1.626,1.808,0.23
19.10,3.23,0.30,1.090,1.230,0.21
12.10,2.99,0.40,0.726,1.343,0.75
15.70,4.23,0.35,0.771,1.358,0.74
10.60,2.47,0.21,0.687,1.060,0.42
9.01,7.36,0.62,1.104,1.253,0.18
3.24,2.26,0.67,3.785,4.029,0.35
5.09,1.19,0.35,0.744,1.120,0.42
12.20,6.28,0.49,0.895,1.175,0.38
9.11,6.85,0.68,1.543,4.968,4.54
0.09,1.52,1.34,2.339,2.665,0.95
12.10,2.64,0.33,0.751,0.961,0.14
4.11,3.59,1.23,0.937,1.729,1.03
0.58,1.04,1.43,6.220,5.630,1.50
9.27,2.20,0.37,6.535,8.472,4.47
8.93,4.14,1.01,0.741,4.803,6.75
1.11,2.12,2.75,7.872,7.899,1.11
6.75,4.67,0.71,1.374,1.598,0.43
0.88,1.52,1.34,2.339,2.665,0.95
9.28,3.66,0.55,0.525,0.882,0.38
6.85,5.34,2.66,2.381,2.412,-0.05
10.20,4.18,1.93,1.645,1.724,0.03
4.88,2.99,2.94,3.380,3.590,0.25
25.60,2.21,0.47,4.120,4.780,3.59
3.79,3.10,2.00,4.928,5.616,5.35
7.78,2.24,0.41,4.274,5.052,4.59
5.58,3.11,0.81,0.961,1.364,0.52
13.40,3.92,0.38,0.730,0.818,0.09
12.30,4.04,0.55,1.315,1.483,0.18
13.50,3.19,0.51,4.315,5.012,4.05
12.89,5.28,0.46,0.584,0.602,0.02
1.48,1.78,0.41,0.591,0.969,0.56
3.16,5.97,1.69,0.962,0.964,0.05
5.98,2.18,0.45,0.679,0.760,0.10
0.10,1.24,0.44,0.995,1.148,0.19
0.07,1.97,0.50,0.908,1.144,0.29
3.05,3.21,1.56,1.410,1.580,0.29
10.00,4.63,0.54,1.116,1.277,0.26
8.12,2.25,0.83,1.386,1.559,0.26
18.14,4.19,0.30,0.829,0.998,0.23
18.14,4.19,0.30,0.829,0.998,0.23
11.60,5.17,0.42,1.020,1.155,0.19
2.16,5.23,1.58,3.940,5.659,3.01
3.50,5.80,1.04,3.840,5.380,2.58
2.80,4.72,1.12,3.930,5.480,2.78
6.39,1.94,0.26,0.559,0.840,0.38
2.31,2.34,0.56,0.765,0.860,0.16
3.00,2.24,0.79,1.373,1.511,0.17
1.90,2.00,0.69,0.784,0.880,0.12
5.63,7.26,0.66,4.298,5.152,2.28
3.28,2.20,0.59,4.000,4.700,2.42
5.63,7.26,0.66,4.298,5.152,2.29
5.77,5.98,0.64,4.097,4.758,1.96
2.85,3.61,0.62,0.066,0.070,1.26
10.90,4.71,0.79,4.834,4.178,1.80
11.09,5.12,0.22,3.037,3.806,1.09
2.11,2.43,0.53,0.045,0.054,1.26
0.13,1.21,2.49,1.836,1.915,0.11
2.60,2.26,0.70,1.157,1.389,0.26
3.16,3.51,0.73,1.695,1.848,0.20
5.83,4.17,0.40,5.508,5.084,0.01
11.10,7.54,0.23,4.906,4.431,0.72
8.95,4.43,0.39,5.032,4.671,0.69
12.30,5.91,0.50,0.804,0.928,0.16
9.78,5.05,0.57,1.098,1.195,0.23
8.84,7.30,0.65,0.933,1.000,0.19
6.46,31.46,0.84,1.237,1.474,0.29
6.06,7.07,0.97,1.762,1.924,0.23
4.43,5.86,1.31,1.528,1.752,0.00
16.20,6.85,0.28,1.824,1.936,0.20
3.23,6.96,1.26,8.570,5.180,0.90
5.52,5.91,0.94,2.476,2.916,0.41
6.45,6.96,0.83,2.330,2.600,0.00
8.46,5.50,0.62,0.871,1.000,0.15
0.29,1.72,0.61,1.685,1.837,0.14
2.93,7.66,1.01,2.172,1.924,0.03
8.24,7.73,0.39,1.813,1.920,0.15
5.83,5.62,0.44,0.572,0.559,0.01
5.03,5.07,0.46,0.529,0.543,0.01
2.58,5.99,0.74,0.994,0.980,0.10
7.37,4.29,0.25,0.417,0.406,0.04
5.57,4.94,0.34,0.407,0.405,0.03
4.56,3.86,0.48,1.360,0.690,3.12
14.30,4.20,0.23,0.532,0.546,0.00
1.93,4.26,1.24,1.343,1.570,0.38
6.38,5.99,0.39,1.620,1.740,0.26
4.17,4.53,0.56,1.369,1.469,0.23
1.77,3.77,1.36,2.129,2.201,0.01
4.29,7.11,0.55,0.746,1.277,0.66
30.20,2.32,0.42,1.550,1.310,0.10
2.49,5.85,0.49,0.971,1.070,0.13
7.38,4.01,0.55,5.686,5.151,3.50
1.65,3.38,1.65,1.489,2.171,0.70
3.32,5.89,0.89,0.583,0.622,0.06
3.02,6.76,0.68,1.216,1.265,0.04
3.04,6.99,0.67,0.538,0.581,0.04
5.56,5.45,0.48,0.506,0.535,0.06
10.70,7.38,0.33,0.437,0.475,-0.11
6.50,5.39,0.45,0.508,0.538,-0.22
6.30,6.97,0.44,0.527,0.572,-0.04
41.90,2.84,0.55,1.070,1.130,-0.03
7.13,3.97,3.75,-1.502,0.059,-8.56
24.50,5.17,0.37,4.541,4.361,1.61
22.61,4.72,0.89,0.875,0.989,0.15
4.48,5.09,2.60,2.342,2.497,0.19
26.70,2.89,0.74,1.220,1.290,-0.02
19.20,4.87,0.37,2.443,2.288,1.33
1.52,1.74,6.24,2.360,2.490,0.02
19.70,4.43,1.06,4.894,7.179,3.90
13.00,2.38,1.50,5.850,7.030,2.82
23.70,7.14,0.86,2.337,4.170,1.71
0.30,1.28,7.39,6.624,6.539,0.16
4.76,3.26,9.22,4.110,4.290,0.18
7.54,4.75,1.43,2.460,3.254,1.86
3.24,1.62,1.38,1.346,2.839,1.78
4.22,5.66,0.66,1.409,1.800,0.34
5.71,4.55,1.59,3.440,3.420,0.04
28.40,5.08,0.33,0.461,2.199,3.04
7.01,3.92,0.33,0.635,0.651,0.02
1.49,3.67,1.97,1.023,1.127,-0.15
8.90,4.26,0.36,3.170,2.338,3.35
14.20,5.02,1.24,1.381,1.479,0.03
68.10,6.39,0.21,1.796,2.071,0.79
16.80,4.10,0.62,0.735,0.886,0.13
4.63,5.30,1.33,1.593,1.897,0.36
40.20,12.80,0.32,1.374,1.683,0.70